,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),Data & Hora,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds_all,weather_description
0,0.0,0.486,0.0,None,2022-01-01 00:00:00,16.59,16.0,16.21,16.72,1024,65,3.15,97,overcast clouds
1,0.0,0.429,0.0,None,2022-01-01 01:00:00,16.59,16.0,16.21,16.72,1024,65,3.14,58,broken clouds
2,0.0,0.463,0.0,None,2022-01-01 02:00:00,16.59,16.03,15.67,16.72,1024,66,3.12,23,few clouds
3,0.0,0.545,0.0,None,2022-01-01 03:00:00,13.59,12.75,11.61,16.16,1023,67,3.08,22,few clouds
4,0.0,0.439,0.0,None,2022-01-01 04:00:00,14.97,14.27,14.72,15.66,1023,67,3.12,15,few clouds
5,0.0,0.399,0.0,None,2022-01-01 05:00:00,14.24,13.47,13.72,15.66,1023,67,3.1,20,few clouds
6,0.0,0.398,0.0,None,2022-01-01 06:00:00,13.37,12.51,11.66,15.57,1023,67,3.1,13,few clouds
7,0.0,0.396,0.0,None,2022-01-01 07:00:00,15.56,14.95,12.89,15.72,1023,68,3.24,14,few clouds
8,0.349,0.0,0.048,None,2022-01-01 08:00:00,15.26,14.64,12.89,15.72,1023,69,3.16,27,scattered clouds
9,0.272,0.0,0.156,None,2022-01-01 09:00:00,14.94,14.27,12.89,16.12,1024,68,2.97,67,broken clouds
10,0.496,0.0,0.545,Medium,2022-01-01 10:00:00,15.64,14.93,13.43,16.72,1024,64,3.22,93,overcast clouds
11,2.065,0.0,0.784,None,2022-01-01 11:00:00,18.71,17.99,14.54,19.04,1024,52,3.29,93,overcast clouds
12,0.197,0.0,0.611,Medium,2022-01-01 12:00:00,19.94,19.32,17.88,22.72,1024,51,3.19,89,overcast clouds
13,0.444,0.0,0.502,Medium,2022-01-01 13:00:00,20.02,19.46,19.59,22.72,1024,53,3.26,99,overcast clouds
14,0.403,0.0,0.131,None,2022-01-01 14:00:00,20.25,19.74,20.15,22.32,1023,54,3.56,100,overcast clouds
15,0.185,0.0,0.227,None,2022-01-01 15:00:00,20.72,20.21,20.7,21.22,1023,52,3.57,95,overcast clouds
16,0.345,0.0,0.017,None,2022-01-01 16:00:00,20.17,19.63,20.15,21.22,1023,53,3.73,95,overcast clouds
17,0.343,0.0,0.0,None,2022-01-01 17:00:00,19.86,19.31,19.72,20.67,1023,54,3.72,95,overcast clouds
18,0.473,0.0,0.0,None,2022-01-01 18:00:00,19.49,18.9,18.99,19.72,1024,54,3.26,96,overcast clouds
19,0.46,0.0,0.0,None,2022-01-01 19:00:00,19.32,18.77,18.43,19.72,1024,56,4.01,93,overcast clouds
20,0.584,0.0,0.0,None,2022-01-01 20:00:00,18.47,17.99,17.88,19.0,1025,62,4.36,98,overcast clouds
21,0.939,0.0,0.0,None,2022-01-01 21:00:00,17.78,17.44,17.72,17.89,1025,70,4.36,99,overcast clouds
22,0.0,0.592,0.0,None,2022-01-01 22:00:00,16.84,16.43,16.45,17.33,1026,71,3.92,98,light rain
23,0.0,0.55,0.0,None,2022-01-01 23:00:00,15.22,14.81,13.72,16.78,1026,77,3.53,100,light rain
24,0.0,0.648,0.0,None,2022-01-02 00:00:00,15.64,15.37,13.9,16.21,1026,81,3.19,100,light rain
25,0.0,0.473,0.0,None,2022-01-02 01:00:00,14.52,14.38,13.34,14.59,1026,90,2.74,100,light rain
26,0.0,0.38,0.0,None,2022-01-02 02:00:00,14.5,14.41,13.34,14.59,1027,92,2.47,100,light rain
27,0.0,0.355,0.0,None,2022-01-02 03:00:00,14.5,14.43,13.34,14.59,1027,93,2.26,100,light rain
28,0.0,0.356,0.0,None,2022-01-02 04:00:00,14.5,14.43,12.79,14.59,1027,93,2.05,100,light rain
29,0.0,0.344,0.0,None,2022-01-02 05:00:00,14.0,13.88,13.12,14.04,1027,93,1.91,100,light rain
30,0.0,0.323,0.0,None,2022-01-02 06:00:00,13.48,13.31,12.57,13.72,1028,93,1.89,100,light rain
31,0.0,0.525,0.0,None,2022-01-02 07:00:00,12.97,12.72,12.01,13.72,1028,92,1.78,100,overcast clouds
32,2.46,0.0,0.025,None,2022-01-02 08:00:00,13.45,13.23,12.72,13.48,1028,91,1.67,100,overcast clouds
33,0.455,0.0,0.07,None,2022-01-02 09:00:00,12.93,12.71,12.57,12.93,1029,93,1.75,100,overcast clouds
34,0.294,0.0,0.217,Medium,2022-01-02 10:00:00,13.48,13.31,12.79,13.72,1030,93,1.98,98,light rain
35,0.823,0.0,0.81,None,2022-01-02 11:00:00,14.05,13.91,12.89,14.72,1030,92,2.49,97,overcast clouds
36,0.65,0.0,0.7,None,2022-01-02 12:00:00,14.56,14.34,13.9,14.79,1030,87,2.72,97,overcast clouds
37,1.191,0.0,0.224,None,2022-01-02 13:00:00,15.66,15.45,14.54,15.9,1029,83,2.65,100,overcast clouds
38,0.083,0.0,0.377,Medium,2022-01-02 14:00:00,16.21,16.0,15.57,16.26,1029,81,2.52,99,overcast clouds
39,0.411,0.0,0.264,Low,2022-01-02 15:00:00,16.25,16.05,15.34,16.77,1029,81,2.26,97,overcast clouds
40,0.35,0.0,0.057,None,2022-01-02 16:00:00,16.2,15.99,14.72,16.77,1029,81,1.62,100,overcast clouds
41,0.319,0.0,0.0,None,2022-01-02 17:00:00,15.59,15.35,13.72,15.7,1029,82,1.05,100,overcast clouds
42,0.655,0.0,0.0,None,2022-01-02 18:00:00,14.42,14.19,11.72,14.59,1029,87,1.73,90,overcast clouds
43,0.638,0.0,0.0,None,2022-01-02 19:00:00,13.9,13.7,11.72,14.04,1029,90,1.46,83,broken clouds
44,0.683,0.0,0.0,None,2022-01-02 20:00:00,12.87,12.56,11.45,12.93,1029,90,0.85,93,overcast clouds
45,0.689,0.0,0.0,None,2022-01-02 21:00:00,12.8,12.51,10.72,12.93,1029,91,1.37,91,overcast clouds
46,0.0,0.526,0.0,None,2022-01-02 22:00:00,12.26,11.94,9.79,12.37,1029,92,1.41,99,overcast clouds
47,0.0,1.122,0.0,None,2022-01-02 23:00:00,12.24,11.95,9.23,12.37,1028,93,1.89,100,overcast clouds
48,0.0,1.122,0.0,None,2022-01-03 00:00:00,12.73,12.46,8.68,12.93,1028,92,1.85,100,overcast clouds
49,0.0,0.42,0.0,None,2022-01-03 01:00:00,12.18,11.86,8.68,12.37,1028,92,2.04,100,overcast clouds
50,0.0,0.26,0.0,None,2022-01-03 02:00:00,12.84,12.5,10.01,12.93,1028,89,1.95,100,overcast clouds
51,0.0,0.246,0.0,None,2022-01-03 03:00:00,12.84,12.48,10.01,12.93,1027,88,1.96,100,overcast clouds
52,0.0,0.244,0.0,None,2022-01-03 04:00:00,13.36,13.08,9.45,13.48,1027,89,1.92,100,overcast clouds
53,0.0,0.269,0.0,None,2022-01-03 05:00:00,12.83,12.49,8.9,12.93,1027,89,2.21,100,overcast clouds
54,0.0,0.255,0.0,None,2022-01-03 06:00:00,13.38,13.05,9.54,13.48,1026,87,2.46,100,overcast clouds
55,0.0,0.568,0.0,None,2022-01-03 07:00:00,12.93,12.52,9.72,12.93,1026,86,2.54,100,overcast clouds
56,1.095,0.0,0.044,None,2022-01-03 08:00:00,13.48,13.02,9.72,13.48,1025,82,2.46,100,overcast clouds
57,0.101,0.0,0.196,Low,2022-01-03 09:00:00,12.93,12.5,10.72,12.93,1026,85,2.64,98,overcast clouds
58,0.0,0.0,0.24,Medium,2022-01-03 10:00:00,13.48,13.08,10.72,13.48,1025,84,2.59,99,overcast clouds
59,0.749,0.0,0.339,Low,2022-01-03 11:00:00,13.93,13.6,11.72,14.23,1025,85,2.53,99,overcast clouds
60,0.164,0.0,0.276,Medium,2022-01-03 12:00:00,15.56,15.16,12.72,17.01,1025,76,3.76,100,overcast clouds
61,0.285,0.0,0.139,Low,2022-01-03 13:00:00,16.03,15.65,12.72,17.01,1024,75,4.65,100,overcast clouds
62,0.334,0.0,0.074,None,2022-01-03 14:00:00,14.55,14.28,13.72,16.45,1023,85,5.05,99,overcast clouds
63,0.333,0.0,0.051,None,2022-01-03 15:00:00,14.53,14.28,13.72,16.45,1023,86,5.2,100,overcast clouds
